week,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
2013-W31,0,0,0,0,0,0,0,0,0,0,6,11,30,15,1,0,0,1,0,0,1,1,2,0,4,10,21,13,1,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
2013-W32,1,0,0,0,0,0,0,0,2,0,6,8,29,10,1,0,0,1,0,0,0,0,7,1,0,3,14,8,1,1,0,0,0,1,3,0,0,0,0,2,2,0,0,1,1,2,0
2013-W33,0,0,0,0,0,0,0,0,1,0,5,3,16,5,0,1,0,0,0,0,0,1,2,1,2,4,9,2,0,1,0,0,0,1,2,0,0,0,1,3,1,0,0,0,0,0,0
2013-W34,0,0,0,1,0,0,0,1,0,0,1,3,12,6,0,0,0,0,0,0,1,2,3,1,0,5,23,2,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0
2013-W35,1,0,0,0,0,0,0,0,0,0,4,2,13,3,0,0,0,0,0,0,2,0,4,3,0,1,8,6,1,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,2,0
2013-W36,0,0,0,1,0,0,1,1,0,0,1,1,10,2,0,0,0,0,0,0,0,0,2,0,0,0,8,3,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,0,0
2013-W37,1,0,0,0,0,0,0,0,0,0,4,1,9,2,1,0,0,0,0,0,1,0,2,0,0,1,8,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2013-W38,0,0,0,1,0,0,0,0,0,0,2,0,10,3,0,0,0,0,0,0,0,0,4,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-W39,1,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,1,0,1,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-W40,0,0,0,0,0,0,0,0,1,0,0,4,6,4,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0
2013-W41,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,1,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-W42,0,0,0,0,0,0,0,0,0,0,1,0,3,5,0,0,0,0,0,1,0,0,5,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013-W43,0,0,0,0,0,0,0,1,0,0,0,0,6,1,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
